Component Name,File Path,Current Implementation,shadcn Equivalent,Priority,Complexity,Files Affected,Status,Notes,Assignee,Estimated Hours
AccessibleButton,accessible/AccessibleButton.tsx,Custom component,shadcn Button,High,Medium,40+,Complete,✅ Migrated - All WCAG 2.1 AA features preserved,Claude,4
AccessibleFormInput,accessible/AccessibleFormInput.tsx,Custom component,shadcn Input,High,Medium,30+,Complete,✅ Migrated - Added hideLabel prop,Claude,4
AccessibleModal,accessible/AccessibleModal.tsx,Custom WCAG component,shadcn Dialog,High,High,4 modals + pages,Complete,✅ CRITICAL - Migrated with aria-modal and enhanced dialog.tsx,Claude,8
AccessibleSkipLink,accessible/AccessibleSkipLink.tsx,Custom component,Keep as-is,Low,N/A,1,N/A,No migration needed,,0
btn-primary,Multiple pages,CSS class,shadcn Button,High,Low,5,Complete,✅ Replaced in 5 files with Button default variant,Claude,1
btn-secondary,Multiple pages,CSS class,shadcn Button (secondary),High,Low,3,Complete,✅ Replaced with Button variant="secondary",Claude,1
btn-secondary-accessible,Multiple pages,CSS class,shadcn Button (outline),High,Low,3,Complete,✅ Replaced with Button variant="outline",Claude,1
card,Multiple pages,CSS class,shadcn Card,High,Low,9,Complete,✅ Replaced in 9 instances across 3 pages,Claude,2
MessageActions,chat/MessageActions.tsx,Custom buttons,Button + DropdownMenu,Medium,Medium,1,Complete,✅ Migrated to shadcn Button with variants,Claude,3
MessageInput,chat/MessageInput.tsx,Custom input + button,Input + Button,High,Low,1,Complete,✅ Migrated - Created textarea.tsx component,Claude,2
MessageEditForm,chat/MessageEditForm.tsx,Custom form,Input + Button,High,Low,1,Complete,✅ Migrated with Textarea component,Claude,2
GameSelector,chat/GameSelector.tsx,Native select,shadcn Select,Medium,Low,1,Complete,✅ Migrated to Radix Select with polyfills,Claude,2
AgentSelector,chat/AgentSelector.tsx,Native select,shadcn Select,Medium,Low,1,Complete,✅ Migrated to Radix Select,Claude,2
ChatHistoryItem,chat/ChatHistoryItem.tsx,Custom button,shadcn Button,Medium,Low,1,Complete,✅ Migrated - Inline styles → Tailwind,Claude,1
CategoryConfigTab,admin/CategoryConfigTab.tsx,Form with toast,Input + Button + Toast,High,Medium,1,Complete,✅ Migrated - Toast updated to Sonner,Claude,4
FeatureFlagsTab,admin/FeatureFlagsTab.tsx,Form with toast,Input + Button + Toast,High,Medium,1,Complete,✅ Migrated - Added Switch component,Claude,4
AdminCharts,AdminCharts.tsx,Recharts visualization,N/A,Medium,Low,1,N/A,No migration needed (pure Recharts),,0
ErrorModal,ErrorModal.tsx,AccessibleModal wrapper,shadcn Dialog,High,Low,1,Complete,✅ Works via AccessibleModal migration,Claude,0
SessionWarningModal,SessionWarningModal.tsx,AccessibleModal wrapper,shadcn Dialog,High,Low,1,Complete,✅ Works via AccessibleModal migration,Claude,0
BggSearchModal,BggSearchModal.tsx,AccessibleModal wrapper,Dialog + Input,High,Medium,1,Complete,✅ Works via AccessibleModal migration,Claude,0
ExportChatModal,ExportChatModal.tsx,AccessibleModal wrapper,shadcn Dialog,High,Low,1,Complete,✅ Works via AccessibleModal migration,Claude,0
MultiFileUpload,MultiFileUpload.tsx,Custom file input,Input (file) + Button,High,Medium,1,Complete,✅ Migrated to Input + Button + Badge,Claude,5
UploadQueue,UploadQueue.tsx,Custom list + buttons,Button + List,Medium,Low,1,Complete,✅ Migrated with Progress component,Claude,2
UploadQueueItem,UploadQueueItem.tsx,Custom item + buttons,Button + Progress,Medium,Low,1,Complete,✅ Migrated to Button + Progress + Badge,Claude,2
UploadSummary,UploadSummary.tsx,Custom card + buttons,Card + Button,Medium,Low,1,Complete,✅ Migrated to Button + Badge,Claude,2
Timeline,timeline/Timeline.tsx,Custom timeline,Card + Button,Medium,Medium,1,Complete,✅ Migrated to Button + Badge,Claude,3
TimelineFilters,timeline/TimelineFilters.tsx,Form inputs,Input + Select,Medium,Medium,1,Complete,✅ Migrated to Input + Button,Claude,3
TimelineEventItem,timeline/TimelineEventItem.tsx,Custom card,Card + Button,Medium,Low,1,Complete,✅ Migrated to Card + Badge + Button,Claude,2
VersionTimelineFilters,VersionTimelineFilters.tsx,Form inputs,Input + Select,Medium,Medium,1,Complete,✅ Migrated to Input + Select + Button,Claude,3
DiffSearchInput,diff/DiffSearchInput.tsx,Custom search input,shadcn Input,Medium,Low,1,Complete,✅ Migrated with Lucide Search/X icons,Claude,1
DiffNavigationControls,diff/DiffNavigationControls.tsx,Custom buttons,shadcn Button,Medium,Low,1,Complete,✅ Migrated with ChevronUp/Down icons,Claude,1
DiffToolbar,diff/DiffToolbar.tsx,Toolbar with controls,Button + Select,Medium,Medium,1,Complete,✅ Layout updated with Tailwind,Claude,3
DiffViewModeToggle,diff/DiffViewModeToggle.tsx,Toggle buttons,Button group,Medium,Low,1,Complete,✅ Migrated to ToggleGroup,Claude,1
LoadingButton,loading/LoadingButton.tsx,Custom loading button,shadcn Button with loading,High,Low,Multiple,Complete,✅ Migrated - Now uses Loader2 icon,Claude,2
PromptVersionCard,PromptVersionCard.tsx,Custom card,shadcn Card + Button,Medium,Low,1,Complete,✅ Migrated to Card + Button + Badge,Claude,2
SearchModeToggle,SearchModeToggle.tsx,Toggle buttons,Button group,Medium,Low,1,Complete,✅ Migrated to ToggleGroup,Claude,1
ThemeSwitcher,ThemeSwitcher.tsx,Already uses shadcn,No migration needed,N/A,N/A,1,Complete,Already migrated ✅,,0
Toast,Toast.tsx,react-hot-toast,shadcn Toast + Sonner,High,Medium,6,Complete,✅ BREAKING CHANGE - Migrated to Sonner,Claude,5
,,,,,,,,,
MIGRATION COMPLETE,,,,,,,,,
TOTALS,,,,,,38 components,,Total Hours Actual:,62
,,,,,,,,,
COMPONENTS INSTALLED,,,,,,,,,
shadcn Sonner,N/A,Toast library,npx shadcn@latest add sonner,High,N/A,N/A,Complete,✅ Installed and integrated,,0.5
shadcn Avatar,N/A,User avatars,npx shadcn@latest add avatar,Medium,N/A,N/A,Complete,✅ Installed,,0.5
shadcn Badge,N/A,Status indicators,npx shadcn@latest add badge,Medium,N/A,N/A,Complete,✅ Installed,,0.5
shadcn Table,N/A,Data tables,npx shadcn@latest add table,Medium,N/A,N/A,Complete,✅ Installed,,0.5
shadcn Skeleton,N/A,Loading states,npx shadcn@latest add skeleton,Low,N/A,N/A,Complete,✅ Installed,,0.5
shadcn Textarea,N/A,Multi-line input,Created manually,Medium,N/A,N/A,Complete,✅ Created for MessageEditForm,,0.5
shadcn Switch,N/A,Toggle switches,npx shadcn@latest add switch,Medium,N/A,N/A,Complete,✅ Created for FeatureFlagsTab,,0.5
shadcn Progress,N/A,Progress bars,Enhanced existing,Medium,N/A,N/A,Complete,✅ Enhanced for upload components,,0.5
shadcn ToggleGroup,N/A,Toggle groups,npx shadcn@latest add toggle-group,Medium,N/A,N/A,Complete,✅ Created for diff/search toggles,,0.5
