path,file_count,category,target_root,rationale
architecture/,56,KEEP-REFERENCE,for-claude/architecture/,"ADR + DDD + diagrams: reference vivo, base per Claude e architect"
architecture/adr/,~30,KEEP-REFERENCE,for-claude/architecture/adr/,"ADR canonici - non spostare numerazione"
bounded-contexts/*.md,20,KEEP-REFERENCE,for-claude/architecture/bounded-contexts/,"19 BC docs - reference DDD"
bounded-contexts/diagrams/,129,ASSET,assets/diagrams/bounded-contexts/,"Mermaid + PNG + SVG generati: non in docs/, asset binari pesanti (~10MB)"
api/,87,KEEP-REFERENCE,for-claude/api-reference/,"REST endpoint reference, RAG docs, contracts"
contracts/,1,KEEP-REFERENCE,for-claude/api-reference/contracts/,"Cartella vuota di placeholder - consolidare con api/"
development/,59,KEEP-REFERENCE,for-developers/workflows/,"Setup, git, secrets, migrations - audience: contributor humans"
development/agent-architecture/,?,KEEP-REFERENCE,for-claude/patterns/agent-architecture/,"Pattern AI/agent - audience: Claude"
testing/,51,KEEP-REFERENCE,for-developers/testing/,"Backend/frontend/e2e patterns"
security/,6,KEEP-REFERENCE,for-developers/security/,"OWASP, vulnerabilities"
compliance/,9,KEEP-REFERENCE,for-developers/security/compliance/,"Consolidare sotto security/"
deployment/,29,KEEP-REFERENCE,for-developers/deployment/,"Infrastructure, CI/CD, monitoring"
operations/,10,KEEP-REFERENCE,for-developers/deployment/operations/,"Runbooks - merge con deployment/"
frontend/,61,KEEP-REFERENCE,for-developers/frontend/,"Component guides, design tokens - SOLO le 35 md"
frontend/screenshots/,?,ASSET,assets/frontend-screenshots/,"PNG mockups - fuori da docs/"
frontend/ux-mockups/,?,ASSET,assets/ux-mockups/,"PNG mockups - fuori da docs/"
frontend/layout-concepts/,?,ASSET,assets/layout-concepts/,"PNG concepts - fuori da docs/"
user-guides/,30,USER-FACING,for-users/roles/,"Guide admin/editor/user - candidate primarie per wiki"
features/,7,USER-FACING,for-users/features/,"7 feature docs - base del wiki utente"
libro-game-assistant/,6,USER-FACING,for-users/features/libro/,"Brand-facing content"
brand/,2,USER-FACING,for-users/brand/,"Brand identity - audience misto"
content-strategy/,1,USER-FACING,for-users/brand/content-strategy.md,"Content guidelines"
navigation/,1,USER-FACING,for-users/navigation.md,"Sitemap utente"
pages/,4,USER-FACING,for-users/pages/,"4 file non-md (?) - verificare contenuto"
specs/,7,KEEP-REFERENCE,for-developers/workflows/specs/,"Sprint specs attive"
specs/game-night-sprint2/,?,ARCHIVE,.docs-archive/specs/game-night-sprint2/,"Sprint passato - archive"
superpowers/specs/,?,KEEP-REFERENCE,for-developers/workflows/superpowers-specs/,"Active design docs - filtrare archived/ separato"
superpowers/specs/archived/,?,ARCHIVE,.docs-archive/superpowers/specs/,"Design docs completati"
superpowers/plans/,?,ARCHIVE,.docs-archive/superpowers/plans/,"Implementation plans - working docs ephemeral"
superpowers/plans/archive/,?,ARCHIVE,.docs-archive/superpowers/plans/archive/,"Doppio nivello archive"
superpowers/plans/archived/,?,ARCHIVE,.docs-archive/superpowers/plans/archived/,"Nome inconsistente vs archive/ - consolidare"
superpowers/research/,?,ARCHIVE,.docs-archive/superpowers/research/,"Research notes one-shot"
superpowers/design-review/,?,ARCHIVE,.docs-archive/superpowers/design-review/,"Review notes ephemeral"
superpowers/mockups/,?,ASSET,assets/superpowers-mockups/,"PNG mockups - fuori da docs/"
superpowers/fixtures/,?,KEEP-REFERENCE,for-developers/testing/fixtures/,"Test scenarios + schema - sposta sotto testing"
research/,12,ARCHIVE,.docs-archive/research/,"Research one-shot - 8 md + 4 asset"
research/mockups/,?,ASSET,assets/research-mockups/,"PNG mockups"
roadmap/,4,ARCHIVE,.docs-archive/roadmap/,"Old plans - mantenere link da README se utile"
pdca/,4,ARCHIVE,.docs-archive/pdca/,"Active PDCA cycles - working docs, archiviare a chiusura ciclo"
pdca/epic-4136/,?,ARCHIVE,.docs-archive/pdca/epic-4136/,""
pdca/issue-4208-state-machine/,?,ARCHIVE,.docs-archive/pdca/issue-4208-state-machine/,""
archive/,38,ARCHIVE,.docs-archive/historical/,"Già archive - spostare fuori da docs/"
archive/epics/,?,ARCHIVE,.docs-archive/historical/epics/,""
archive/sessions/,?,ARCHIVE,.docs-archive/historical/sessions/,""
archive/rag-research/,?,ARCHIVE,.docs-archive/historical/rag-research/,""
archive/pdca-admin-dashboard/,?,ARCHIVE,.docs-archive/historical/pdca-admin-dashboard/,""
evaluation-reports/,1,ARCHIVE,.docs-archive/evaluation-reports/,"Quality baselines snapshot - 1 file"
audit/,1,ARCHIVE,.docs-archive/audit/,"Single audit file"
templates/,1,KEEP-REFERENCE,for-developers/workflows/templates/,"Template reusable"
migrations/,1,KEEP-REFERENCE,for-developers/workflows/migrations/,"Migration guide v1->v2"
rulebooks/,1,DELETE-CANDIDATE,-,"1 file non-md - verificare contenuto, probabile placeholder"
brand/__pycache__/,?,DELETE-CANDIDATE,-,"Python bytecode in docs/ - sicuramente errore, eliminare"
alpha-zero-scope.md,1,KEEP-REFERENCE,for-developers/alpha-zero-scope.md,"Scope Alpha - reference vivo"
meepleai-project-brief.md,1,USER-FACING,for-users/README.md,"Project brief - perfect base per wiki landing"
meepleai-manual-test-plan.pdf,1,ARCHIVE,.docs-archive/meepleai-manual-test-plan.pdf,"PDF binario - archiviare"
README.md,1,KEEP-REFERENCE,docs/README.md,"Reorganizzare per puntare ai 3 root"
SKILLS-REFERENCE.md,1,KEEP-REFERENCE,for-claude/skills-reference.md,"Reference Claude skills"
skills-reference.pdf,1,DELETE-CANDIDATE,-,"PDF duplicato del .md - eliminare"
